datetime,open,high,low,close
2025-05-15,3181.2,3245.2,3120.92,3244.5
2025-05-14,3247.8,3256.97,3167.95,3181.2
2025-05-13,3237.6,3265.33,3215.92,3248.5
2025-05-12,3290.0,3305.79,3207.7,3235.24
2025-05-10,3326.9,3332.7,3320.7,3322.0
2025-05-09,3309.6,3347.26,3275.0,3323.64
2025-05-08,3366.7,3414.52,3288.91,3309.4
2025-05-07,3435.0,3440.4,3360.23,3366.6
2025-05-06,3340.6,3440.0,3323.53,3434.7
2025-05-05,3252.8,3341.1,3236.68,3335.0
2025-05-04,3255.7,3255.9,3252.6,3252.7
2025-05-03,3255.4,3259.8,3244.3,3257.0
2025-05-02,3250.3,3269.02,3223.0,3254.9
2025-05-01,3292.2,3293.6,3201.9,3238.64
2025-04-30,3317.2,3325.7,3267.16,3292.0
2025-04-29,3344.0,3347.15,3304.6,3317.6
2025-04-28,3319.8,3352.91,3274.3,3344.1
2025-04-27,3315.1,3324.6,3315.1,3321.0
2025-04-26,3316.6,3319.6,3309.9,3314.0
2025-04-25,3354.8,3376.8,3270.6,3316.3
2025-04-24,3303.9,3388.5,3298.9,3354.9
2025-04-23,3392.6,3403.1,3281.5,3303.3
2025-04-22,3423.49,3499.87,3381.2,3394.4
2025-04-21,3327.93,3430.47,3327.93,3422.8
2025-04-19,3326.27,3326.27,3326.27,3326.27
2025-04-18,3326.27,3326.27,3326.27,3326.27
2025-04-17,3344.05,3345.29,3283.94,3326.19
2025-04-14,3222.11011,3245.76001,3213.87988,3222.05005
2025-04-11,3177.28003,3245.36011,3176.51001,3238.18994
2025-04-10,3081.51001,3176.41992,3071.62012,3175.47998
2025-04-09,2984.53003,3099.46997,2970.13989,3083.16992
2025-04-08,2982.71997,3022.67993,2975.06006,2982.15991
2025-04-07,3029.8999,3055.63989,2956.90991,2982.03003
2025-04-05,3036.31006,3041.07007,3033.8999,3038.17993
2025-04-04,3107.71997,3136.28003,3016.16992,3036.47998
2025-04-03,3124.41992,3167.70996,3054.31006,3107.63989
2025-04-02,3118.67993,3135.77002,3107.8999,3124.19995
2025-04-01,3124.3501,3149.03003,3100.90991,3118.69995
2025-03-31,3093.0,3127.87988,3076.82007,3124.55005
2025-03-29,3080.8501,3086.18994,3080.8501,3085.28003
2025-03-28,3057.53003,3086.80005,3054.25,3080.96997
2025-03-27,3017.31006,3059.58008,3017.23999,3057.58008
2025-03-26,3019.65991,3032.13989,3012.44995,3017.20996
2025-03-25,3006.19995,3036.05005,3005.73999,3019.63989
2025-03-24,3023.30005,3033.38989,3002.62012,3006.18994
2025-03-22,3020.04004,3024.1499,3020.03003,3023.8501
2025-03-21,3044.81006,3047.51001,2999.47998,3019.94995
2025-03-20,3047.82007,3057.36011,3025.76001,3044.82007
2025-03-19,3035.77002,3051.98999,3022.95996,3047.87988
2025-03-18,3000.3999,3038.33008,2999.6001,3035.52002
2025-03-17,2987.8501,3001.22998,2982.33008,3000.37012
2025-03-15,2984.01001,2988.87988,2981.93994,2985.04004
2025-03-14,2983.12988,3004.94995,2978.59009,2984.02002
2025-03-13,2931.34009,2985.43994,2930.94995,2982.97998
2025-03-12,2918.36011,2940.6001,2906.22998,2931.37988
2025-03-11,2885.18994,2922.26001,2880.43994,2918.48999
2025-03-10,2912.41992,2918.28003,2880.3999,2885.37012
2025-03-08,2905.3501,2912.82007,2904.88989,2909.43994
2025-03-07,2913.8501,2930.42993,2896.83008,2905.45996
2025-03-06,2920.62012,2926.59009,2891.43994,2914.08008
2025-03-05,2915.95996,2929.8501,2894.44995,2920.62988
2025-03-04,2881.63989,2927.84009,2878.47998,2916.21997
2025-03-03,2873.30005,2893.02002,2859.02002,2881.69995
2025-03-01,2849.51001,2859.36011,2847.77002,2857.44995
2025-02-28,2879.37012,2885.22998,2832.77002,2849.79004
2025-02-27,2914.0,2920.8501,2868.09009,2879.27002
2025-02-26,2912.15991,2930.25,2890.8999,2913.97998
2025-02-25,2949.21997,2953.69995,2888.6499,2912.18994
2025-02-24,2939.67993,2956.26001,2921.5,2949.37988
2025-02-22,2933.31006,2938.3501,2932.16992,2936.08008
2025-02-21,2938.02002,2949.87012,2916.87012,2933.52002
2025-02-20,2931.77002,2954.88989,2924.3999,2937.97998
2025-02-19,2935.8501,2947.05005,2918.8501,2931.84009
2025-02-18,2899.33008,2936.95996,2892.12988,2935.8501
2025-02-17,2893.67993,2906.41992,2878.90991,2898.3999
2025-02-15,2880.67993,2886.25,2877.1499,2882.54004
2025-02-14,2926.92993,2940.1001,2878.94995,2880.76001
2025-02-13,2897.95996,2927.47998,2895.62012,2926.96997
2025-02-12,2900.26001,2909.12988,2864.22998,2897.92993
2025-02-11,2904.44995,2942.68994,2881.8999,2900.29004
2025-02-10,2861.3999,2911.43994,2860.44995,2904.41992
2025-02-08,2860.12988,2863.88989,2859.47998,2860.87012
2025-02-07,2854.0,2886.81006,2852.70996,2860.29004
2025-02-06,2863.65991,2873.27002,2834.3501,2854.05005
2025-02-05,2843.1499,2882.3501,2839.87012,2863.66992
